GT inlier,Correspondence,Adjust,Reduce,Total time, Inlier rate,Recall,Precision,F1-score
266.4,2614.6,0.1,465.6,0.06246,0.104702,0.968233,0.947279,0.957369
397.2,2036.4,0.2,539.8,0.02466,0.195,0.972469,0.973151,0.972514
397.2,1346,0.3,485,0.0152,0.297635,0.98322,0.975314,0.979078
397.2,1005.2,0.4,454.2,0.01316,0.396471,0.981916,0.97913,0.980299
397.2,802,0.5,435.6,0.0118,0.496413,0.987107,0.985071,0.985932
397.2,667,0.6,422,0.01102,0.591213,0.982957,0.990119,0.986306
397.2,571,0.7,413.6,0.01078,0.681358,0.972058,0.992562,0.981554
397.2,499,0.8,406.8,0.01046,0.77453,0.96793,0.994869,0.980807
397.2,443.4,0.9,399.6,0.01042,0.863787,0.962976,0.998747,0.979802
,,,,0.018884444,,0.975429556,0.981804667,0.978184556
