GT inlier,Correspondence,Adjust,Reduce,Total time, Inlier rate,Recall,Precision,F1-score
266.4,2614.6,0.1,418.8,0.0605,0.105167,0.965754,0.940865,0.952682
397.2,2036.4,0.2,511.2,0.01382,0.190907,0.957382,0.978179,0.96721
397.2,1346,0.3,468.4,0.0068,0.289915,0.964843,0.981888,0.972931
397.2,1005.2,0.4,432.2,0.00376,0.395059,0.983903,0.984262,0.983883
397.2,802,0.5,427.2,0.00246,0.482951,0.963791,0.988334,0.975336
397.2,667,0.6,427,0.00182,0.587306,0.976501,0.990095,0.982995
397.2,571,0.7,416,0.0014,0.682573,0.972645,0.991233,0.981517
397.2,499,0.8,408.2,0.00102,0.780483,0.976844,0.996334,0.986106
397.2,443.4,0.9,403.4,0.00098,0.865361,0.965221,0.999258,0.981301
,,,,0.010284444,,,,0.975995667
