GT inlier,Correspondence,Adjust,Reduce,Total time, Inlier rate,Recall,Precision,F1-score
251,2395,0.1,333,0.0436,0.103758,0.97251,0.982376,0.977368
499,2558,0.2,592,0.0114,0.187568,0.953707,0.991901,0.972377
499,1691,0.3,432,0.0097,0.283028,0.954108,0.994767,0.973964
499,1263,0.4,404,0.006,0.375455,0.948096,0.997696,0.972128
499,1008,0.5,380,0.0066,0.462996,0.933066,0.997664,0.964137
499,838,0.6,348,0.0068,0.558831,0.935872,0.997232,0.96537
499,717,0.7,502,0.0065,0.630962,0.90521,0.99851,0.948633
499,627,0.8,501,0.0058,0.722967,0.907415,0.9989,0.949825
499,557,0.9,500,0.0041,0.817594,0.912425,0.999793,0.953621
,,,,0.011166667,,,,0.964158111
