GT inlier,Correspondence,Adjust,Reduce,Total time, Inlier rate,Recall,Precision,F1-score
251,2395,0.1,333,0.0444,0.107683,0.991633,0.965145,0.978198
499,2558,0.2,592,0.0079,0.192338,0.970341,0.984122,0.977102
499,1691,0.3,541,0.0035,0.29314,0.98477,0.991319,0.988017
499,1263,0.4,471,0.003,0.396595,0.99479,0.991039,0.992878
499,1008,0.5,514,0.002,0.496627,0.995792,0.992629,0.994186
499,838,0.6,516,0.0017,0.596539,0.997996,0.996199,0.997093
499,717,0.7,511,0.0016,0.696095,0.996393,0.996197,0.996282
499,627,0.8,508,0.0011,0.785167,0.98477,0.998187,0.991225
499,557,0.9,507,0.0008,0.880431,0.980962,0.998159,0.989184
,,,,0.007333333,,,,0.989351667
