GT inlier,Correspondence,Adjust,Reduce,Total time, Inlier rate,Recall,Precision,F1-score
508.2,4890.8,0.1,738.8,0.07312,0.108068,0.962698,0.919569,0.94023
886.4,4486.2,0.2,1023.8,0.02936,0.199604,0.984132,0.971399,0.977631
890.6,3018.8,0.3,938,0.01782,0.29806,0.988205,0.978336,0.983117
890.6,2254.4,0.4,898.6,0.0138,0.399533,0.992116,0.981163,0.986544
890.6,1798.6,0.5,879.2,0.01238,0.496208,0.982782,0.981153,0.98175
890.6,1496.2,0.6,856.2,0.01128,0.59306,0.984945,0.988939,0.9868
890.6,1280.8,0.7,838.8,0.01102,0.68481,0.978136,0.993611,0.985607
890.6,1119.8,0.8,836.8,0.0105,0.784303,0.981963,0.996066,0.988703
890.6,994.6,0.9,794.4,0.0105,0.874727,0.975378,0.998458,0.986341
,,,,0.021086667,,0.981150556,0.978743778,0.979635889
