GT inlier,Correspondence,Adjust,Reduce,Total time, Inlier rate,Recall,Precision,F1-score
508.2,4890.8,0.1,754,0.10206,0.108705,0.972284,0.923629,0.946883
886.4,4486.2,0.2,1041,0.0244,0.200296,0.986758,0.970678,0.978522
890.6,3018.8,0.3,949,0.01252,0.298954,0.990702,0.977889,0.984177
890.6,2254.4,0.4,907.6,0.00856,0.399454,0.990704,0.980046,0.985239
890.6,1798.6,0.5,887,0.00698,0.498856,0.989564,0.982707,0.985993
890.6,1496.2,0.6,853.6,0.0062,0.594311,0.98594,0.987825,0.986731
890.6,1280.8,0.7,817,0.00594,0.68234,0.974696,0.993672,0.983704
890.6,1119.8,0.8,810.6,0.00568,0.775498,0.97104,0.996252,0.982915
890.6,994.6,0.9,804.8,0.00556,0.869568,0.96965,0.998463,0.983307
,,,,0.019766667,,0.981259778,0.979017889,0.979719
