GT inlier,Correspondence,Adjust,Reduce,Total time, Inlier rate,Recall,Precision,F1-score
508.2,4890.8,0.1,800.2,0.87464,0.105925,0.96656,0.941076,0.953404
886.4,4486.2,0.2,1069.2,0.08486,0.192053,0.963268,0.988206,0.975524
890.6,3018.8,0.3,957.2,0.0199,0.283254,0.951782,0.991266,0.971003
890.6,2254.4,0.4,900.4,0.00768,0.372621,0.933128,0.98921,0.960145
890.6,1798.6,0.5,869.8,0.0042,0.455931,0.912992,0.991749,0.950318
890.6,1496.2,0.6,841.2,0.00278,0.539463,0.901778,0.995096,0.945311
890.6,1280.8,0.7,821.4,0.00222,0.611569,0.87691,0.997352,0.931787
890.6,1119.8,0.8,819.6,0.00174,0.687679,0.863755,0.999216,0.924791
890.6,994.6,0.9,821.8,0.00136,0.756448,0.844514,0.999639,0.913021
,,,,0.111042222,,,,0.947256
