GT inlier,Correspondence,Adjust,Reduce,Total time, Inlier rate,Recall,Precision,F1-score
508.2,4890.8,0.1,738.8,0.04344,0.109329,0.965443,0.911795,0.937353
886.4,4486.2,0.2,1023.8,0.01262,0.195651,0.966967,0.973859,0.970156
890.6,3018.8,0.3,938,0.00668,0.293045,0.975448,0.982016,0.9786
890.6,2254.4,0.4,898.6,0.00412,0.394773,0.981829,0.982724,0.98209
890.6,1798.6,0.5,879.2,0.0029,0.490557,0.976313,0.985729,0.980801
890.6,1496.2,0.6,876,0.00216,0.58524,0.972609,0.989631,0.980597
890.6,1280.8,0.7,925.4,0.00158,0.678672,0.969413,0.993548,0.980806
890.6,1119.8,0.8,907.6,0.0014,0.772431,0.967819,0.996777,0.981206
890.6,994.6,0.9,903.6,0.00112,0.875451,0.976452,0.998721,0.987142
,,,,0.008446667,,,,0.975416778
