GT inlier,Correspondence,Adjust,Reduce,Total time, Inlier rate,Recall,Precision,F1-score
508.2,4890.8,0.1,727.2,0.05198,0.101782,0.93062,0.942767,0.935811
886.4,4486.2,0.2,1023.8,0.01658,0.185366,0.926411,0.98468,0.9543
890.6,3018.8,0.3,938,0.01102,0.274904,0.921784,0.989063,0.953795
890.6,2254.4,0.4,898.6,0.00892,0.36595,0.91976,0.992783,0.954256
890.6,1798.6,0.5,879.2,0.0076,0.456402,0.915267,0.993013,0.951968
890.6,1496.2,0.6,856.2,0.0064,0.542063,0.907117,0.996215,0.948813
890.6,1280.8,0.7,833.6,0.00558,0.614343,0.880789,0.997218,0.933913
890.6,1119.8,0.8,825.2,0.00596,0.702737,0.882901,0.999454,0.936618
890.6,994.6,0.9,794.4,0.00546,0.768661,0.858209,0.999699,0.921408
,,,,0.013277778,,,,0.943431333
