GT inlier,Correspondence,Adjust,Reduce,Total time, Inlier rate,Recall,Precision,F1-score
508.2,4890.8,0.1,738.8,0.05134,0.104585,0.946125,0.932849,0.939
886.4,4486.2,0.2,1023.8,0.01224,0.191731,0.953069,0.979343,0.965861
890.6,3018.8,0.3,938,0.0068,0.288601,0.963381,0.984761,0.973775
890.6,2254.4,0.4,898.6,0.0047,0.388799,0.96866,0.984335,0.976102
890.6,1798.6,0.5,879.2,0.00302,0.490598,0.977526,0.986997,0.981953
890.6,1496.2,0.6,858.2,0.00216,0.585596,0.974261,0.990609,0.981989
890.6,1280.8,0.7,925.4,0.00162,0.688361,0.98294,0.993318,0.987929
890.6,1119.8,0.8,907.6,0.00134,0.779253,0.977354,0.997748,0.987196
890.6,994.6,0.9,898,0.00116,0.865833,0.965305,0.998314,0.980773
,,,,0.009375556,,,,0.974953111
