GT inlier,Correspondence,Adjust,Reduce,Total time, Inlier rate,Recall,Precision,F1-score,
508.2,4890.8,0.1,738.8,0.07768,0.106546,0.961914,0.931033,0.945991,
886.4,4486.2,0.2,1023.8,0.02112,0.19629,0.975582,0.979172,0.977267,
890.6,3018.8,0.3,938,0.00876,0.294589,0.98086,0.982396,0.981536,
890.6,2254.4,0.4,898.6,0.005,0.393249,0.979092,0.983758,0.981207,
890.6,1798.6,0.5,879.2,0.00304,0.496401,0.985894,0.983872,0.984698,0.974
890.6,1496.2,0.6,876,0.00188,0.592308,0.984639,0.989828,0.987007,
890.6,1280.8,0.7,925.4,0.00164,0.683577,0.976775,0.993974,0.984878,
890.6,1119.8,0.8,907.6,0.00142,0.78206,0.979719,0.996684,0.987714,
890.6,994.6,0.9,903.6,0.00106,0.859863,0.959397,0.99907,0.977878,0.984
,,,,,,,,0.978686222,
