GT inlier,Correspondence,Adjust,Reduce,Total time, Inlier rate,Recall,Precision,F1-score
508.2,4890.8,0.1,1130.2,0.12062,0.123506,0.979024,0.820934,0.891751
886.4,4486.2,0.2,1388.6,0.0191,0.214072,0.998204,0.919633,0.956957
890.6,3018.8,0.3,1182.2,0.00846,0.309236,0.998225,0.953134,0.97496
890.6,2254.4,0.4,1086.2,0.00472,0.407095,0.996138,0.967262,0.98132
890.6,1798.6,0.5,1032,0.00298,0.505655,0.994302,0.9742,0.984034
890.6,1496.2,0.6,984,0.00208,0.603341,0.995791,0.982779,0.989183
890.6,1280.8,0.7,950,0.00166,0.68888,0.982997,0.992553,0.987352
890.6,1119.8,0.8,922,0.0014,0.787472,0.984935,0.995148,0.989765
890.6,994.6,0.9,903.6,0.00126,0.884059,0.985782,0.99843,0.991905
,,,,0.018031111,,,,0.971914111
