GT inlier,Correspondence,Adjust,Reduce,Total time, Inlier rate,Recall,Precision,F1-score
168.069,1681.24,0.1,193.138,0.1053,0.0961133,0.955255,0.993753,0.971892
308.69,1543.76,0.2,308.207,0.0175103,0.193404,0.964633,0.997242,0.979518
401.241,1337.38,0.3,373.241,0.012269,0.289299,0.962146,0.997879,0.978455
473.897,1184.62,0.4,430.345,0.0108759,0.386013,0.963739,0.998846,0.979925
530.069,1060.14,0.5,466.517,0.0104517,0.479317,0.957915,0.999256,0.976468
576.621,961,0.6,491.241,0.0104241,0.575602,0.95895,0.999591,0.977157
588.828,841.276,0.7,499.138,0.0101724,0.666342,0.951696,0.999697,0.97212
590.069,737.448,0.8,488.793,0.0100138,0.761312,0.951403,0.999941,0.972567
590.069,655.621,0.9,478.345,0.0100241,0.849938,0.944172,0.999897,0.967638
,,,,,,0.956656556,0.998455778,0.975082222
