GT inlier,Correspondence,Adjust,Reduce,Total time, Inlier rate,Recall,Precision,F1-score,,Time,,,F1-score,
143.647,1436.76,0.1,155.588,1.41353,0.0902976,0.896991,0.974779,0.926032,,0.1,1.41353,,0.1,0.926032
277.306,1386.72,0.2,267.028,0.0890694,0.187184,0.933983,0.997657,0.962572,,0.2,0.0890694,,0.2,0.962572
372.278,1240.89,0.3,331.778,0.0202389,0.276946,0.921766,0.998506,0.955855,,0.3,0.0202389,,0.3,0.955855
449.25,1123.06,0.4,386.139,0.00807222,0.365654,0.913411,0.999335,0.95088,,0.4,0.00807222,,0.4,0.95088
502.083,1004.17,0.5,421.667,0.00429722,0.452808,0.905047,0.999355,0.945488,,0.5,0.00429722,,0.5,0.945488
539.583,899.278,0.6,442.722,0.00264722,0.537683,0.895698,0.999455,0.939985,,avg,0.307041548,,avg,0.9481654
549.417,784.917,0.7,445.111,0.00198889,0.620622,0.886334,0.999633,0.933716,,,,,,
550.417,687.889,0.8,444.361,0.00166389,0.704666,0.880616,0.999952,0.929696,,0.5,0.00429722,,0.5,0.945488
550.417,611.556,0.9,432.861,0.00141389,0.786407,0.873621,0.999925,0.924974,,0.6,0.00264722,,0.6,0.939985
,,,,0.171435737,,,,0.941022,,0.7,0.00198889,,0.7,0.933716
,,,,,,,,,,0.8,0.00166389,,0.8,0.929696
,,,,,,,,,,0.9,0.00141389,,0.9,0.924974
,,,,,,,,,,avg,0.002402222,,avg,0.9347718
,,,,,,,,,,,,,,
,,,,,,,,,,total avg.,0.171435737,,toal avg.,0.941022
