GT inlier,Correspondence,Adjust,Reduce,Total time, Inlier rate,Recall,Precision,F1-score
589.8,5623.4,0.1,961.2,0.08606,0.106258,0.957651,0.948888,0.952216
927,4698.4,0.2,1176.8,0.02772,0.196645,0.981164,0.983226,0.982013
969.2,3285,0.3,1053.8,0.01574,0.292987,0.979474,0.986453,0.982826
969.2,2453.2,0.4,942,0.0132,0.393227,0.986013,0.990816,0.988275
969.2,1957.6,0.5,904.6,0.01178,0.488398,0.980858,0.994343,0.987257
969.2,1628.6,0.6,876.4,0.0115,0.583524,0.978477,0.998001,0.987793
969.2,1394,0.7,846.6,0.01104,0.681782,0.978135,0.997553,0.98735
969.2,1218.8,0.8,832.6,0.01092,0.773571,0.972082,0.999299,0.984992
969.2,1082.2,0.9,801.6,0.01088,0.867642,0.967389,0.998564,0.981882
,,,,0.022093333,,0.975693667,0.988571444,0.981622667
