GT inlier,Correspondence,Adjust,Reduce,Total time, Inlier rate,Recall,Precision,F1-score
589.8,5623.4,0.1,879.2,0.05706,0.098886,0.902868,0.959683,0.929322
927,4698.4,0.2,1114.2,0.01562,0.184782,0.927514,0.986915,0.954704
969.2,3285,0.3,1000.4,0.00916,0.272517,0.917395,0.993326,0.952428
969.2,2453.2,0.4,913.8,0.00782,0.366079,0.922379,0.995335,0.956403
969.2,1957.6,0.5,861.4,0.00718,0.461148,0.929686,0.998177,0.96179
969.2,1628.6,0.6,839.6,0.0071,0.547051,0.918783,0.999615,0.95603
969.2,1394,0.7,821.8,0.00662,0.626091,0.900308,0.999745,0.943427
969.2,1218.8,0.8,759,0.00592,0.712905,0.896102,0.999593,0.942907
969.2,1082.2,0.9,741.2,0.00606,0.784692,0.875824,0.999655,0.931106
,,,,0.013615556,,,,0.947568556
