GT inlier,Correspondence,Adjust,Reduce,Total time, Inlier rate,Recall,Precision,F1-score,
589.8,5623.4,0.1,879.2,0.06356,0.103014,0.935041,0.954625,0.943653,
927,4698.4,0.2,1114.2,0.01298,0.193451,0.971305,0.989242,0.980124,
969.2,3285,0.3,1000.4,0.00676,0.291234,0.977092,0.989899,0.983357,
969.2,2453.2,0.4,913.8,0.00366,0.389712,0.980604,0.994128,0.987175,
969.2,1957.6,0.5,884.6,0.00256,0.489283,0.982641,0.994118,0.988109,0.976
969.2,1628.6,0.6,972,0.00214,0.581792,0.975185,0.997321,0.985249,
969.2,1394,0.7,952.2,0.0017,0.689355,0.989853,0.998314,0.993967,
969.2,1218.8,0.8,931.4,0.00136,0.789059,0.991074,0.998806,0.994762,
969.2,1082.2,0.9,965,0.00116,0.887008,0.98973,0.999361,0.994342,0.991
,,,,0.010653333,,,,0.983415333,
