GT inlier,Correspondence,Adjust,Reduce,Total time, Inlier rate,Recall,Precision,F1-score
589.8,5623.4,0.1,1367,0.08956,0.122198,0.970706,0.841302,0.899718
927,4698.4,0.2,1565,0.01314,0.206689,0.973714,0.928234,0.949386
969.2,3285,0.3,1370,0.00628,0.3055,0.990621,0.957443,0.973574
969.2,2453.2,0.4,1192,0.0034,0.399296,0.98339,0.973519,0.977946
969.2,1957.6,0.5,1118.2,0.00238,0.500496,0.99271,0.982563,0.987441
969.2,1628.6,0.6,1065,0.00192,0.595067,0.992719,0.992712,0.99255
969.2,1394,0.7,1021.6,0.00154,0.693714,0.992776,0.995011,0.99371
969.2,1218.8,0.8,996.2,0.00128,0.788514,0.988194,0.996679,0.992048
969.2,1082.2,0.9,965,0.0011,0.881214,0.98297,0.999064,0.990785
,,,,0.0134,,,,0.973017556
