GT inlier,Correspondence,Adjust,Reduce,Total time, Inlier rate,Recall,Precision,F1-score
266.4,2614.6,0.1,418.8,0.06676,0.104191,0.961344,0.945154,0.952868
397.2,2036.4,0.2,511.2,0.02096,0.195052,0.975282,0.975544,0.975203
397.2,1346,0.3,468.4,0.01524,0.296349,0.975667,0.972156,0.973615
397.2,1005.2,0.4,432.2,0.01266,0.396311,0.984268,0.981642,0.982827
397.2,802,0.5,427.2,0.01168,0.494209,0.984734,0.987057,0.985738
397.2,667,0.6,415.8,0.01084,0.593298,0.98462,0.988417,0.986345
397.2,571,0.7,410.2,0.01068,0.688913,0.982234,0.991955,0.986864
397.2,499,0.8,403.6,0.01016,0.782602,0.979866,0.996755,0.987975
397.2,443.4,0.9,388.8,0.0104,0.862948,0.962294,0.999005,0.979406
,,,,0.01882,,0.976701,0.981965,0.978982333
