GT inlier,Correspondence,Adjust,Reduce,Total time, Inlier rate,Recall,Precision,F1-score
266.4,2614.6,0.1,418.8,0.06168,0.104945,0.963813,0.941315,0.952152
397.2,2036.4,0.2,511.2,0.0164,0.194059,0.969035,0.97427,0.971137
397.2,1346,0.3,468.4,0.00986,0.296227,0.976642,0.973513,0.974757
397.2,1005.2,0.4,445.2,0.00758,0.396847,0.984459,0.980507,0.98234
397.2,802,0.5,429.8,0.00648,0.492787,0.981348,0.986417,0.983693
397.2,667,0.6,419.2,0.00586,0.594242,0.987175,0.98943,0.988067
397.2,571,0.7,412,0.00544,0.689462,0.983197,0.992067,0.987449
397.2,499,0.8,405.8,0.00526,0.775169,0.969623,0.995735,0.982207
397.2,443.4,0.9,399.4,0.00526,0.871315,0.971614,0.998992,0.984022
,,,,0.013757778,,0.976322889,0.981360667,0.978424889
