GT inlier,Correspondence,Adjust,Reduce,Total time, Inlier rate,Recall,Precision,F1-score,,time ,,F1-score,
266.4,2614.6,0.1,452.2,0.97468,0.102292,0.968631,0.968933,0.968641,,0.1,0.97468,0.1,0.968641
397.2,2036.4,0.2,535,0.08602,0.189119,0.961704,0.99187,0.976385,,0.2,0.08602,0.2,0.976385
397.2,1346,0.3,485.2,0.01934,0.281549,0.947116,0.992682,0.969166,,0.3,0.01934,0.3,0.969166
397.2,1005.2,0.4,456,0.00716,0.369141,0.930842,0.996461,0.962141,,0.4,0.00716,0.4,0.962141
397.2,802,0.5,436.6,0.00366,0.45409,0.913546,0.996417,0.952586,,0.5,0.00366,0.5,0.952586
397.2,667,0.6,422.8,0.00234,0.540415,0.904873,0.997052,0.947685,,avg.,0.218172,avg.,0.9657838
397.2,571,0.7,414,0.0017,0.60957,0.874698,0.998178,0.930912,,0.5,0.00366,0.5,0.952586
397.2,499,0.8,405.8,0.0014,0.692735,0.869559,0.999246,0.928066,,0.6,0.00234,0.6,0.947685
397.2,443.4,0.9,398.8,0.00122,0.769327,0.858626,0.999864,0.921424,,0.7,0.0017,0.7,0.930912
,,,,0.121946667,,,,0.950778444,,0.8,0.0014,0.8,0.928066
,,,,,,,,,,0.9,0.00122,0.9,0.921424
,,,,,,,,,,avg.,0.002064,avg.,0.9361346
,,,,,,,,,,total avg.,0.121946667,total avg.,0.950778444
