GT inlier,Correspondence,Adjust,Reduce,Total time, Inlier rate,Recall,Precision,F1-score
266.4,2614.6,0.1,418.8,0.0531,0.102546,0.949217,0.947532,0.948015
397.2,2036.4,0.2,511.2,0.01256,0.189246,0.951551,0.980604,0.965468
397.2,1346,0.3,468.4,0.00616,0.289368,0.963386,0.982439,0.972547
397.2,1005.2,0.4,432.2,0.00376,0.390497,0.974515,0.986396,0.980109
397.2,802,0.5,427.2,0.00246,0.488058,0.973312,0.987472,0.980087
397.2,667,0.6,427,0.002,0.58408,0.972016,0.991124,0.980938
397.2,571,0.7,416,0.00144,0.678914,0.970054,0.994006,0.981502
397.2,499,0.8,408.2,0.00108,0.780166,0.977078,0.997018,0.986509
397.2,443.4,0.9,403.4,0.00102,0.876238,0.977044,0.998956,0.987356
,,,,0.009286667,,,,0.975836778
