GT inlier,Correspondence,Adjust,Reduce,Total time, Inlier rate,Recall,Precision,F1-score
508.2,4890.8,0.1,823,0.09986,0.10859,0.962717,0.915103,0.937876
886.4,4486.2,0.2,1073.8,0.03038,0.199841,0.983038,0.969162,0.975911
890.6,3018.8,0.3,954.2,0.01732,0.295762,0.979215,0.977049,0.977954
890.6,2254.4,0.4,899.6,0.01412,0.398042,0.988064,0.980827,0.984331
890.6,1798.6,0.5,871.4,0.0125,0.495442,0.982306,0.982246,0.982077
890.6,1496.2,0.6,842.4,0.01154,0.591661,0.981842,0.988226,0.984757
890.6,1280.8,0.7,816.4,0.01106,0.683039,0.975592,0.993545,0.984202
890.6,1119.8,0.8,812.2,0.0108,0.779161,0.977226,0.997795,0.987096
890.6,994.6,0.9,804.8,0.01068,0.867794,0.968026,0.998821,0.982561
,,,,0.024251111,,0.977558444,0.978086,0.977418333
