GT inlier,Correspondence,Adjust,Reduce,Total time, Inlier rate,Recall,Precision,F1-score
508.2,4890.8,0.1,738.8,0.09686,0.108631,0.971874,0.923603,0.946715
886.4,4486.2,0.2,1023.8,0.03012,0.200603,0.984324,0.966775,0.975399
890.6,3018.8,0.3,938,0.0171,0.29827,0.989583,0.979054,0.984211
890.6,2254.4,0.4,898.6,0.0138,0.396201,0.983264,0.980655,0.981769
890.6,1798.6,0.5,879.2,0.01232,0.497729,0.986622,0.982064,0.984181
890.6,1496.2,0.6,856.2,0.01144,0.595438,0.988577,0.988589,0.988479
890.6,1280.8,0.7,838.8,0.0111,0.689867,0.984148,0.992409,0.988123
890.6,1119.8,0.8,836.8,0.01082,0.778068,0.974598,0.996581,0.985007
890.6,994.6,0.9,794.4,0.01068,0.859226,0.958783,0.999154,0.977576
,,,,0.023804444,,0.980197,0.978764889,0.979051111
