GT inlier,Correspondence,Adjust,Reduce,Total time, Inlier rate,Recall,Precision,F1-score
589.8,5623.4,0.1,879.2,0.07824,0.104578,0.941978,0.948862,0.943599
927,4698.4,0.2,1114.2,0.02236,0.196867,0.983983,0.984784,0.984292
969.2,3285,0.3,1000.4,0.01498,0.294218,0.983196,0.986126,0.984446
969.2,2453.2,0.4,913.8,0.01236,0.391008,0.980532,0.990891,0.985533
969.2,1957.6,0.5,884.6,0.01162,0.492712,0.991314,0.996178,0.993705
969.2,1628.6,0.6,862.8,0.01116,0.589142,0.987839,0.997947,0.992766
969.2,1394,0.7,845,0.01086,0.680826,0.976893,0.997629,0.98671
969.2,1218.8,0.8,803,0.01068,0.778531,0.977599,0.998594,0.987035
969.2,1082.2,0.9,785,0.01042,0.865204,0.965526,0.999472,0.980991
,,,,0.020297778,,0.97654,0.988942556,0.982119667
