GT inlier,Correspondence,Adjust,Reduce,Total time, Inlier rate,Recall,Precision,F1-score
589.8,5623.4,0.1,879.2,0.0723,0.104236,0.93146,0.938365,0.933177
927,4698.4,0.2,1114.2,0.01724,0.196154,0.980005,0.9844,0.982036
969.2,3285,0.3,1000.4,0.00968,0.294429,0.983521,0.985721,0.984506
969.2,2453.2,0.4,913.8,0.00738,0.393024,0.985277,0.990519,0.987809
969.2,1957.6,0.5,884.6,0.00666,0.49028,0.984504,0.994327,0.989243
969.2,1628.6,0.6,864.2,0.0061,0.590058,0.988372,0.997008,0.992555
969.2,1394,0.7,822.8,0.00582,0.677198,0.972155,0.998084,0.984301
969.2,1218.8,0.8,804.8,0.00568,0.77679,0.974963,0.998061,0.985951
969.2,1082.2,0.9,786,0.00532,0.885055,0.987544,0.999346,0.993205
,,,,0.015131111,,0.976422333,0.987314556,0.981420333
