GT inlier,Correspondence,Adjust,Reduce,Total time, Inlier rate,Recall,Precision,F1-score,,Time,,,F1-score,
589.8,5623.4,0.1,962,0.92616,0.10456,0.954285,0.958765,0.956276,,0.1,0.92616,,0.1,0.956276
927,4698.4,0.2,1176.2,0.08704,0.192105,0.96769,0.992524,0.979872,,0.2,0.08704,,0.2,0.979872
969.2,3285,0.3,1054.8,0.01986,0.286125,0.964831,0.99488,0.979503,,0.3,0.01986,,0.3,0.979503
969.2,2453.2,0.4,942.6,0.00762,0.379987,0.958067,0.996103,0.976438,,0.4,0.00762,,0.4,0.976438
969.2,1957.6,0.5,903.6,0.00424,0.467865,0.943401,0.998339,0.969543,,0.5,0.00424,,0.5,0.969543
969.2,1628.6,0.6,875.8,0.00292,0.558457,0.937892,0.999566,0.967034,,avg,0.208984,,avg,0.9723264
969.2,1394,0.7,847.2,0.00222,0.647574,0.930957,0.999512,0.963259,,,,,,
969.2,1218.8,0.8,821,0.00176,0.732817,0.921262,0.999728,0.957834,,0.5,0.00424,,0.5,0.969543
969.2,1082.2,0.9,801.8,0.00164,0.814085,0.908541,0.999544,0.950247,,0.6,0.00292,,0.6,0.967034
,,,,0.117051111,,,,0.966667333,,0.7,0.00222,,0.7,0.963259
,,,,,,,,,,0.8,0.00176,,0.8,0.957834
,,,,,,,,,,0.9,0.00164,,0.9,0.950247
,,,,,,,,,,avg,0.002556,,avg,0.9615834
,,,,,,,,,,,,,,
,,,,,,,,,,total avg.,0.117051111,,toal avg.,0.966667333
