GT inlier,Correspondence,Adjust,Reduce,Total time, Inlier rate,Recall,Precision,F1-score
589.8,5623.4,0.1,878.4,0.0622,0.0979973,0.885978,0.951188,0.916919
927,4698.4,0.2,1113.4,0.0178,0.187204,0.943443,0.993183,0.967511
969.2,3285,0.3,999.2,0.0124,0.27707,0.931758,0.992402,0.960196
969.2,2453.2,0.4,912.6,0.009,0.372034,0.937779,0.995868,0.965602
969.2,1957.6,0.5,882.8,0.0082,0.461711,0.931224,0.998594,0.963194
969.2,1628.6,0.6,862.4,0.0076,0.540123,0.906736,0.999156,0.950166
969.2,1394,0.7,845,0.0062,0.660267,0.949531,0.999844,0.973829
969.2,1218.8,0.8,803,0.0058,0.735358,0.924291,0.99955,0.959908
969.2,1082.2,0.9,785,0.006,0.82417,0.919787,0.999556,0.956122
,,,,0.015022222,,,,0.957049667
