GT inlier,Correspondence,Adjust,Reduce,Total time, Inlier rate,Recall,Precision,F1-score
589.8,5623.4,0.1,879.2,0.88994,0.105043,0.959651,0.959451,0.959388
927,4698.4,0.2,1114.2,0.08414,0.1933,0.975389,0.994205,0.984661
969.2,3285,0.3,1000.4,0.01898,0.285718,0.96318,0.994594,0.978492
969.2,2453.2,0.4,913.8,0.00714,0.379679,0.957592,0.996387,0.97638
969.2,1957.6,0.5,884.6,0.00372,0.471894,0.951798,0.998632,0.974268
969.2,1628.6,0.6,862.8,0.0025,0.559866,0.940379,0.999684,0.96852
969.2,1394,0.7,845,0.00172,0.652546,0.938278,0.999689,0.967318
969.2,1218.8,0.8,803,0.00146,0.721855,0.907464,0.9997,0.9499
969.2,1082.2,0.9,785,0.0014,0.808229,0.902045,0.999593,0.946751
,,,,0.112333333,,,,0.967297556
