GT inlier,Correspondence,Adjust,Reduce,Total time, Inlier rate,Recall,Precision,F1-score
589.8,5623.4,0.1,879.2,0.06448,0.0981328,0.885988,0.944581,0.911475
927,4698.4,0.2,1114.2,0.01,0.191536,0.96158,0.989265,0.975019
969.2,3285,0.3,1000.4,0.0057,0.276462,0.927619,0.990219,0.954653
969.2,2453.2,0.4,913.8,0.00352,0.383943,0.963637,0.991623,0.976609
969.2,1957.6,0.5,884.6,0.00292,0.48399,0.974894,0.997338,0.985064
969.2,1628.6,0.6,898.2,0.00236,0.582116,0.976077,0.998003,0.98546
969.2,1394,0.7,952.2,0.00202,0.680832,0.976148,0.996689,0.985988
969.2,1218.8,0.8,931.4,0.0016,0.781861,0.982272,0.99907,0.990253
969.2,1082.2,0.9,938.8,0.00146,0.87843,0.98014,0.999338,0.988964
,,,,0.010451111,,,,0.972609444
